OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
36,eez,132,Colombia,COL,730703.1023,69.2,75.82,81.32,71.51,61.14,100,30.42,28.77,65.99,67.29,56.24,80.44,60.89,66.25,0.84,2.96,66.77,85.65,24.46,-0.75,7.57E+11,7816847.809
37,eez,133,Honduras,HND,219971.1483,56.13,89.33,95.48,88.29,58.47,100,41.94,36.28,89.48,71.74,65.55,94,88.01,100,28.99,44.46,85.87,89.18,7.17,0.19,2.41E+11,2811692.19
38,eez,134,El Salvador,SLV,94238.04992,72.6,84.17,62.75,62.48,45.05,100,29.96,28.29,83.5,60.87,52.15,71.13,42.25,98.15,0.8,10.79,79.51,84.83,4.74,-0.67,97045019054,1406603.473
39,eez,135,Mexico,MEX,3284659.723,70.78,87,81.19,75.69,63.48,100,34.56,33.3,90.74,65.69,68.29,72.89,45.79,100,18.16,29.33,82.85,83.27,86.33,-0.48,3.82E+12,21124165.76
40,eez,136,Guatemala,GTM,118336.3536,58.53,90.06,96.55,96.23,32.11,100,39.42,26.84,98.52,71.98,59.04,100,100,92.51,16.31,4.01,82.24,81.6,3.87,-1.11,1.21E+11,1659903.64
41,eez,137,Ecuador,ECU,1079918.447,69.01,87.13,81.85,78.35,66.88,100,54.43,76.43,95.6,65.63,72.12,100,100,100,100,56.88,82.81,78.66,21.85,0.59,1.08E+12,6998600.227
42,eez,138,Peru,PER,838324.3625,76.28,76.38,56.18,56.07,57.16,45.42,62.74,62.42,77.75,67.82,58.16,63.12,80.82,47.34,21.47,52.22,57.58,75.01,24.2,-0.11,8.72E+11,5710828.096
43,eez,139,Venezuela,VEN,473325.1149,77.2,84.38,80.56,87.51,61.58,95.69,41.19,37.98,85.22,65.03,60.23,82.98,70.28,79.07,4.32,15.5,72.05,83.55,2.57,0.23,4.98E+11,7204005.83
44,eez,14,Taiwan,TWN,342997.0201,88.19,93.21,97.89,95.63,41.77,96.85,43.67,41.93,95.32,65.46,65.46,92.06,87.26,23.51,33.84,32.27,44.48,91.1,27.2,-0.44,3.94E+11,4456659.938
45,eez,140,Guadeloupe and Martinique,GLP-MTQ,138683.4047,87.97,92.16,96.41,99.94,71.31,32.79,18.16,18.05,94.98,75.25,72.6,65.51,98.24,100,0.18,0,87.63,89.34,34.39,0.09,1.51E+11,3343768.361
46,eez,141,Faeroe Islands,FRO,266720.4834,97.03,89.81,0,0,74.09,90.64,56.82,66.75,100,76.03,67.79,88.19,85.75,8.91,100,36.76,42.47,79.62,47.17,0.77,1.26E+12,5009341.624
47,eez,143,Iceland,ISL,752783.4147,98.1,70.65,0,0,79.3,43.77,65,65.57,60.91,58.22,69.45,64.4,85.03,39.48,100,39.08,48.85,80.39,89.63,0.39,4.18E+12,16844477.82
48,eez,144,Jan Mayen,SJM,291233.6912,96.18,56.94,0,0,92.58,90.64,65.43,65.43,37.62,75,81.14,88.19,85.75,100,0,0,87.5,76.26,0,-0.5,2.79E+12,6645052.547
49,eez,145,Greenland,GRL,2264464.44,97.03,89.54,94.69,0,94.44,100,62.05,62.05,93.72,65.46,74.23,100,100,99.34,0,0,82.4,85.37,47.93,0.06,5.77E+13,164258286.6
50,eez,146,Pitcairn,PCN,839476.2228,73.65,90.58,100,0,85.43,73.04,89.1,89.1,100,75.21,84.92,81.16,89.28,71.3,0,0,73.26,81.17,86.18,1.53,1.01E+12,3920713.07
51,eez,147,French Polynesia,PYF,4795467.775,65.95,89.53,99.57,91.63,87.02,46.41,55.48,54.18,97.59,66.96,78.14,73.2,100,0,27.11,98.03,33.48,81.48,88.85,0.28,5.39E+12,11692343.35
52,eez,148,Line Group,KIR,1655965.584,60.67,88.03,100,0,87.4,68.38,62.59,62.59,100,59.82,71.89,74.05,79.72,0,0,0,29.91,76.07,72.44,-0.86,1.67E+12,7513727.894
53,eez,149,Jarvis Island,UMI,318799.1039,93.71,83.97,0,0,98.38,0,48.7,48.7,91.24,57.35,80.69,0,0,100,0,0,78.67,76.7,0,-0.67,3.13E+11,2048144.603
54,eez,15,Philippines,PHL,1835027.879,64.44,84.81,92.39,68.68,52.6,46.76,68.02,59.46,83.59,61.88,66.25,45.21,43.67,36.82,13.84,92.37,49.35,86.03,53.2,1.18,1.95E+12,19263947.35
55,eez,150,Palmyra Atoll,UMI,353242.0592,93.71,84.54,76.42,0,92.88,0,48.96,48.96,92.7,57.02,79.17,0,0,100,0,0,78.51,76.39,0,-0.53,3.50E+11,2258667.943
56,eez,151,American Samoa,ASM,406815.936,85.86,87.96,95.63,94.17,56.59,72.76,42.16,42.16,97.82,62.32,77.3,85.98,99.2,68.81,0,0,65.56,78.1,81.81,0.44,4.30E+11,3143358.334
57,eez,152,Samoa,WSM,132305.5677,74.3,89.86,95.46,90.53,91.29,82.19,12.46,12.46,96.38,67.88,66.13,42.86,3.52,2.83,0,44.65,35.35,83.34,84.5,1.37,1.41E+11,1923599.316
58,eez,153,Cook Islands,COK,1972842.717,79.87,82.46,92.51,53.99,92.79,58.46,46.19,46.15,85.18,66.5,69.57,47.15,35.84,100,1.01,30.04,83.25,79.75,87.49,0.48,2.12E+12,7310178.931
59,eez,154,Niue,NIU,318243.7539,77.98,80.88,85.86,52.75,85.28,33.28,35.64,35.64,84.02,66.39,68.09,57.62,81.96,38.61,0,0,52.5,77.75,84.27,0.2,3.56E+11,2243702.413
60,eez,155,Tonga,TON,668054.1234,71.11,88.56,94.7,87.32,69.33,99.63,19.83,19.82,97.59,63.11,69.1,99.81,100,3.76,0.04,46.68,33.44,79.54,80.28,1.34,7.58E+11,3889367.19
61,eez,156,Tokelau,TKL,321242.3298,79.41,76.94,91.8,53.31,74.66,71.51,32.15,32.15,75.32,54.64,66.59,80.39,89.28,0,0,0,27.32,78.55,83.36,0.38,3.27E+11,2285930.81
62,eez,157,Phoenix Group,KIR,748008.706,61.78,87.16,100,0,97.97,68.84,69.08,69.08,96.64,60.92,80.67,74.66,80.47,100,0,0,80.46,77.68,74.23,-0.96,7.46E+11,3357076.896
63,eez,158,Howland Island and Baker Island,UMI,437861.7836,86.65,89.05,100,0,97.91,0,85.38,85.38,100,57.17,89.6,0,0,100,0,0,78.58,78.11,0,-0.36,4.34E+11,2384043.304
64,eez,159,Johnston Atoll,UMI,445116.5269,93.71,84.16,75.5,0,75.25,0,50.59,50.59,92.26,56.71,76.26,0,0,100,0,0,78.35,76.06,0,-0.63,4.78E+11,2461294.722
65,eez,16,Australia,AUS,6956845.813,98.21,93.39,89.4,92.92,81.33,100,48.89,40.2,94.48,84.95,79.74,95.62,91.23,100,12.41,53.63,92.48,92.29,60.19,0.07,9.15E+12,49999756.97
66,eez,161,Wallis and Futuna,WLF,262863.5972,64.92,89.81,100,0,92.54,72.79,68.84,68.84,98.48,74.84,77.4,81.04,89.28,0,0,0,37.42,81.15,84.65,0.64,2.76E+11,2345358.898
67,eez,162,New Zealand,NZL,4106953.907,95.73,87.94,68.64,64.64,79.13,100,67.97,72.29,90.16,61.74,78.94,100,100,65.21,100,57.52,63.48,85.71,100,-0.43,7.80E+12,34211683.02
68,eez,163,United States,USA,8591243.712,100,79.33,75.22,61.6,74.6,99.91,68.47,66.77,75.66,69.86,68.89,77.8,55.69,74.74,13.29,36.3,72.3,83,45.01,-0.87,2.19E+13,118306519.6
69,eez,164,Belize,BLZ,36249.8346,72.65,75.8,23.57,38.85,66.15,100,39.78,40.42,61.32,68.64,63.21,100,100,100,47.05,31.46,84.32,90.28,98.86,-0.02,39672514649,1116989.03
70,eez,166,Jamaica,JAM,246488.4477,60.46,82.36,51.67,99.07,43.23,88.69,25.31,25.31,79.01,68.81,60.62,79.89,71.09,84.02,0.01,0.5,76.41,85.72,87.32,0.14,2.69E+11,2788454.987
71,eez,167,Guyana,GUY,136909.9721,58.57,91.3,89.5,89.47,74.49,98.63,15.99,15.98,96.98,69.35,61.98,69.34,40.06,17.96,0.43,0,43.65,85.62,25.53,-0.06,1.42E+11,1704877.96
72,eez,168,Suriname,SUR,128363.0118,71.11,91.9,99.74,99.74,76.89,75.3,18.48,18.47,99.87,71.96,68.07,85.75,96.2,100,0.39,39.73,85.98,83.93,11.38,-0.49,1.30E+11,1706026.062
73,eez,169,French Guiana,GUF,136563.7759,70.41,93.74,100,100,83.16,32.26,34.91,34.91,100,77.69,71.64,47.4,62.55,100,0,0,88.84,87.49,26.32,0.18,1.38E+11,1682716.144
74,eez,17,Papua New Guinea,PNG,2407382.253,53.61,87.77,88.73,83.48,65.2,100,66.78,66.78,92,59.71,59.24,100,100,9.41,0.01,7.28,34.56,83.53,5.01,-0.54,2.45E+12,16283804.65
75,eez,171,Brazil,BRA,3672584.291,69.96,89.22,97.48,97.69,58.96,100,48.76,45.27,95.24,68.47,65.7,80.1,60.2,99.17,4.16,4.5,83.82,83.19,30,-0.14,4.00E+12,27247418.39
76,eez,172,Argentina,ARG,1083150.526,81.89,89.6,0,0,80.09,100,52.83,52.83,100,65.6,68.77,91.64,83.28,100,0.01,37.36,82.8,79.2,33.93,-0.33,2.39E+12,14332740.74
77,eez,173,Uruguay,URY,130097.9711,84.83,88.18,0,0,57.98,100,49.94,49.94,100,68.59,62.73,100,100,98.43,0,4.64,83.51,76.35,32.72,0.07,1.98E+11,2668926.905
78,eez,174,Finland,FIN,79467.8287,95.54,86.18,0,0,69.45,100,85.95,79.57,88.28,95.83,74.09,84.47,68.95,65.78,18.29,73.28,80.81,84.07,23.45,0.03,3.81E+11,7896895.074
79,eez,175,Denmark,DNK,100613.4005,98.79,90.22,100,100,53.75,71.75,60.59,59.19,96.35,90.27,75.54,71.06,70.37,100,13.15,61.01,95.13,84.1,26.26,0.23,3.18E+11,8357709.057
80,eez,176,Germany,DEU,56357.92335,97.56,87.95,100,100,49.95,100,58.62,55.15,91.26,89.84,84.86,91.86,83.72,100,10.5,73.29,94.92,84.64,97.97,0.12,1.70E+11,5420195.387
81,eez,177,Netherlands,NLD,64204.9917,98.97,81.13,100,100,45.01,80.25,62.04,58.17,78.18,72.7,75.77,66.87,53.49,100,36.75,51.26,86.35,84.08,69.92,-0.13,1.88E+11,3282518.599
82,eez,178,Poland,POL,31945.64843,90.69,70.34,59.7,60.81,42.78,100,52.88,52.88,59.27,95.45,65.41,82.32,64.64,100,0,74.74,97.73,81.4,22.15,0.99,97745985350,2204301.278
83,eez,179,France,FRA,343866.252,95.57,84.94,75.12,67.35,49.09,100,56.55,54.04,90.44,71.66,70.48,81.98,63.96,100,46.01,49.64,85.83,79.44,61.26,-0.27,7.20E+11,10008492.74
84,eez,18,Fiji,FJI,1293035.669,54.63,84.35,98.57,68.77,75.47,81.97,40.54,40.54,87.24,58.44,69.58,68.27,54.57,66.49,0.01,42.77,62.47,81.47,100,0.11,1.43E+12,8765513.245
85,eez,180,United Kingdom,GBR,723406.8079,95.99,87.24,53.85,55.43,62.98,96.43,54.22,51.46,91.67,69.62,72.41,90.22,84,100,13.52,71.42,84.81,82.81,70.69,0.18,2.46E+12,24850888.35
86,eez,181,Ireland,IRL,426441.7245,100,81.63,55.52,55.54,61.91,100,56.11,55.8,82.28,65.43,66.38,79.62,59.24,99.95,52.31,68.82,82.69,80.98,22.3,0.44,1.16E+12,8331970.992
87,eez,182,Spain,ESP,555707.2235,92.78,74.6,53.58,53.64,50.48,100,56.86,58.7,75.83,69.77,67.61,79.01,58.02,100,62.65,50.75,84.89,73.37,77.71,0.32,9.93E+11,9474083.523
88,eez,183,Portugal,PRT,311717.9927,88.17,87.1,0,0,51.12,100,53.44,51.39,97.21,66.83,78.36,93.38,86.77,100,7.42,72.27,83.42,76.99,100,1.22,5.01E+11,3437101.302
89,eez,184,Italy,ITA,538881.0005,93.21,81.86,85.65,85.04,50.16,100,49.77,43.06,93.5,70.09,79.75,87.09,74.17,100,21.03,95.63,85.05,70.22,90.76,0.51,9.03E+11,11857181.89
91,eez,186,Montenegro,MNE,7459.246585,73.07,85.39,0,0,59.5,97.58,53.12,50.77,100,62.34,55.26,79.72,61.86,0.75,4.81,0.82,31.54,70.77,61.23,0.26,14380980280,525367.694
92,eez,187,Croatia,HRV,55462.34965,73.3,88.39,0,0,63.71,100,53.43,50.83,100,61.56,71.3,80.18,60.36,98.85,24.47,33.78,80.21,76.78,100,0.07,1.11E+11,2651289.917
93,eez,188,Slovenia,SVN,186.3137803,91.05,90.9,0,0,28.16,100,42.55,31.86,100,62.62,61.61,100,100,100,15.71,29.54,81.31,81.81,40.04,-0.59,247090521.6,73366.7089
94,eez,189,Lithuania,LTU,6125.648765,92.28,73.02,0,0,45.6,100,49.29,49.29,63.15,95.45,64.3,77.69,55.38,100,0,59.49,97.73,82.9,19.27,-0.07,20231238881,852878.6284
95,eez,19,Tuvalu,TUV,751275.5256,47.82,88.37,100,0,62.92,100,67.4,67.39,100,60.74,72.55,100,100,7.11,0.18,0,33.93,76.74,79.94,0.9,7.65E+11,5495423.587
96,eez,190,Qatar,QAT,31987.67613,100,92.98,95.26,90.25,64.97,81.17,43.22,43.22,98,58.52,75.29,68.08,54.99,75.7,0,0,67.11,87.96,55.76,0.48,39372639210,1306627.596
97,eez,191,Iran,IRN,163764.7032,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,2.04E+11,4602632.879
98,eez-inland,191,Iran,IRN,61035.86928,80.04,87.97,88.97,87.27,66.23,60.36,24.23,24.19,91.12,54.69,60.78,80.18,100,63.81,23.52,33.68,59.25,84.83,0,-1.15,96348926498,1546380.237
99,eez,192,Iraq,IRQ,595.8273625,64.32,82.88,82.58,82.52,41.56,71.05,29.57,29.57,83.89,46.99,54.72,85.53,100,0,0,0,23.5,81.87,0,0.12,1349250459,219683.6031
100,eez,193,Guinea Bissau,GNB,106506.6206,51.33,73.17,30.1,30.37,54.99,25.59,49.39,49.39,68.13,64.17,48.57,61,96.41,100,0,0,82.08,78.2,4.71,-0.16,1.13E+11,1962841.475
101,eez,194,Guinea,GIN,110136.2915,44.29,75.52,31.21,32.81,42.23,97.77,57.54,57.54,72.38,61.58,49.6,80.03,62.28,79.67,0,0,70.62,78.65,12.19,0.01,1.11E+11,1666965.699
102,eez,195,Ivory Coast,CIV,174842.2427,46.4,70.14,32.48,32.39,37.73,100,40.08,40.08,62.49,68.44,41.37,85.67,71.34,22.96,0,1.63,45.7,77.79,21.44,-0.36,1.77E+11,1691394.601
103,eez,196,Nigeria,NGA,182874.6608,53.06,64.77,97.26,97.1,28.1,51.3,45.45,45.45,54.78,66.9,50.65,75.65,100,8.84,0,5.37,37.87,74.76,1.89,-0.47,1.84E+11,3008960.722
104,eez,197,Cameroon,CMR,14704.25633,45.08,79.78,92.39,92.1,34.49,98.41,69.89,69.89,81.03,65.34,63.68,75.6,52.79,74.89,0,0,70.11,78.54,13.68,-0.22,16235862851,1085526.229
105,eez,198,Gabon,GAB,193292.3287,73.42,75.26,71.36,71.31,62.95,79.89,61.92,61.92,72.21,65.28,62.69,59.24,38.58,100,0,0,82.64,78.31,6.12,0.55,1.94E+11,2469666.457
106,eez,199,Democratic Republic of the Congo,COD,13265.40385,48.86,69.54,29.83,29.79,39.54,96.07,45.91,45.91,64.45,62.16,47.15,98.04,100,62.58,0,0,62.37,74.62,0.42,-0.14,13628594918,885220.4809
107,eez,2,Christmas Island,CXR,330035.5195,96.97,88.96,93.12,92.76,81.51,100,48.39,48.39,94.68,58.48,82.76,96.35,92.7,55.47,0,0,56.98,83.23,89.84,-0.25,3.34E+11,2142066.247
108,eez,20,South Korea,KOR,324993.7753,95.69,95.48,0,0,64.28,100,27.73,76.74,100,68.29,77.16,94.78,89.56,83.06,97.06,90.19,75.68,90.95,24.42,0.16,4.97E+11,7141285.354
109,eez,200,Angola,AGO,493753.3729,52.83,79.06,87.06,84.65,52.73,88.9,47.59,47.59,84.57,60.61,59.32,73.81,58.72,25.31,0,67.12,42.96,73.55,5.37,1.06,5.12E+11,4152429.718
110,eez,202,Tanzania,TZA,243129.5766,66.6,80.94,68.34,84.12,47.95,100,43.1,42.95,76.67,62.54,67.09,100,100,100,0.21,71.54,81.27,85.2,27.18,0.15,2.48E+11,2686323.397
111,eez,203,India,IND,1637705.823,50.78,89.6,97.4,86.88,22.7,100,36.32,33.21,95.33,55.7,58.68,69.42,38.83,24.25,12.15,44.23,39.98,83.87,52.59,0.19,1.75E+12,12467050.37
112,eez,204,Bangladesh,BGD,84563.25636,59.86,88.83,100,99.77,23.67,99.95,22.85,22.83,94.52,65.24,66.36,99.98,100,59.8,22.57,95.01,62.52,83.13,11.14,1.3,97752321340,2305623.839
113,eez,205,Myanmar,MMR,514147.233,49.08,88.89,92.77,89.04,46.92,94.15,10.95,10.8,93.35,58.45,62.97,97.08,100,38.73,4.57,81.46,48.59,84.44,25.05,1.19,5.60E+11,6531772.437
114,eez,206,Malaysia,MYS,451796.7016,82.9,86.87,93.73,84.45,64.15,71.55,31.92,31.44,87.3,57.38,63.51,79.4,87.24,16.33,14.6,21.58,36.86,86.45,53.72,-0.3,4.59E+11,9573675.885
115,eez,207,Vietnam,VNM,647232.0771,55.76,85.74,89.03,60.84,41.5,86.39,11.82,19.26,85.66,64.72,57.04,74.24,62.08,84.55,48.47,27.19,74.63,85.82,42.17,0.62,6.82E+11,7333558.659
116,eez,208,Singapore,SGP,762.6873317,100,80.89,82.37,83.18,47.97,100,47.14,39.9,76.16,66.68,63.18,96.36,92.71,0.79,3.32,4.63,33.73,85.62,62.8,0.05,726324675.7,208839.3044
117,eez,209,China,CHN,878363.969,81.91,81.52,69.65,52.68,29.76,99.63,33.93,76.82,74.88,61.25,60.44,96.52,93.42,10.27,100,34.65,35.76,88.17,45.09,-0.02,1.18E+12,16986990.79
118,eez,21,North Korea,PRK,115967.3029,76.99,88.09,93.56,0,50.84,48.35,10.16,32.34,96.56,64.78,58.61,70.17,91.98,0.12,52.98,83.05,32.45,79.63,0,0.54,1.98E+11,3574260.742
119,eez,210,Japan,JPN,4040612.342,93.13,90.36,99.95,95.32,62.33,100,44.83,42.25,96.05,64.89,67.59,78.29,56.58,100,34.41,8.3,82.44,84.67,23.55,-0.59,5.41E+12,31425818.72
120,eez,212,Kiribati,KIR,1055117.017,54.64,82.87,99.49,86.86,27.96,100,46.29,46.29,88.36,64.47,59.21,89.31,78.62,0,0.02,3.74,32.23,77.39,68.69,-1.32,1.05E+12,4795309.082
121,eez,214,Egypt,EGY,236612.0085,74.24,88.15,97.14,85.43,49.5,100,33.68,29.42,97.61,57.41,69.54,97.83,95.67,71.14,25.68,77.3,64.28,78.68,32.08,0.5,3.22E+11,5688581.615
123,eez,216,Indonesia,IDN,5947885.105,57.22,84.04,87.33,66.78,55.77,99.4,50,47.41,81.88,64.06,66.99,71.41,43.43,63.69,26.49,92.61,63.88,86.2,43.43,0.64,6.05E+12,55172914.93
124,eez,218,Canada,CAN,5698085.416,97.53,90.56,97.34,54.65,93.82,100,49.96,53.14,93.75,69.46,72.05,90.52,81.05,27.85,75.27,39.39,48.66,87.37,54.89,-0.31,6.71E+13,331599634
125,eez,219,Saint Pierre and Miquelon,SPM,12367.30422,98.52,90.84,0,0,83.7,64.3,56.17,56.14,100,67.7,71.3,82.12,99.95,11.99,2.39,0,39.84,81.68,47.94,-0.25,25529488773,1503570.304
126,eez,220,Sint Maarten,SXM,497.5035634,92.06,94.1,100,100,49.5,84.58,17.7,17.7,96.23,72.01,70.27,90.47,96.36,45.84,0,0,58.92,91.96,100,-1.75,614007978.5,106553.5065
127,eez,221,Northern Saint-Martin,MAF,5386.647647,87.14,95.68,95.26,100,45.39,85.28,20.23,20.23,96.65,73.09,80.12,90.82,96.36,100,0,0,86.55,94.7,100,0.08,4638461668,428819.534
128,eez,222,Sweden,SWE,154980.5133,98.02,84.88,57.96,61.31,62.81,100,77.63,76.82,86.9,89.26,69.08,100,100,83.03,3.19,17.11,86.14,82.85,45.77,0.17,6.31E+11,12914083.57
129,eez,223,Norway,NOR,1716658.865,100,86.51,53.22,0,76.89,78.64,69.88,76.29,92.89,65.03,77.45,82,85.37,88.57,100,61.29,76.8,80.14,84.07,-0.16,2.93E+13,82277036.07
130,eez,224,Chile,CHL,3657312.865,87.75,90,0,0,93.97,100,65.18,75.9,100,68.56,74.05,100,100,92.53,100,26.26,80.54,79.99,37.97,0.12,6.20E+12,53297571.68
131,eez,227,Jersey,JEY,2962.103979,96.3,82.24,54.89,54.79,52.41,88.03,59.71,59.71,81.51,75.32,68.36,86.89,85.75,83.22,0,0,79.27,82.97,48.71,0.17,6151551204,378580.6907
132,eez,228,Guernsey,GGY,8672.648861,96.3,79.66,54.38,54.3,56,88.02,62.34,62.34,76.78,75.31,65.38,86.89,85.75,23.31,0,0,49.31,82.53,49.21,0.68,20904875470,574799.9637
133,eez,231,East Timor,TLS,40225.67481,55.38,83.11,86.28,84.63,51.46,0.05,43.81,43.8,82.28,66.18,60.14,27.55,55.04,53.98,0.01,0,60.08,83.94,48.99,0.02,39943437933,1519091.214
135,eez,237,Oecussi Ambeno,TLS,2275.559626,67.71,77.34,77.82,41.85,62.57,89.49,56.2,56.2,71.49,65.86,62.56,75.72,61.96,34.45,0,0,50.16,83.18,53.65,0.44,2371080055,197116.1804
